Location,Year,Indicator,Value,Unit
FM,2019,SE_PRE_PARTN,74.33,PERCENT
FM,2020,SE_PRE_PARTN,60.78,PERCENT
FM,2021,SE_PRE_PARTN,62.16,PERCENT
FM,2022,SE_PRE_PARTN,60.6,PERCENT
MH,2016,SE_ACC_HNDWSH,36.2,PERCENT
VU,2016,SE_GC_TCAQ,96.07,PERCENT
VU,2017,SE_GC_TCAQ,82.59,PERCENT
PW,2016,SE_GC_TCAQ,43.0,INDEX
TO,2020,SE_ACS_CMPTR,44.27,PERCENT
TO,2021,SE_ACS_CMPTR,56.5,PERCENT
TO,2022,SE_ACS_CMPTR,46.9,PERCENT
TO,2015,SE_TOT_PRFL,42.0,PERCENT
TO,2018,SE_TOT_PRFL,53.0,PERCENT
MH,2016,SE_ACS_ELECT,54.3,PERCENT
CK,2018,SE_TOT_GPI,118.0,INDEX
FM,2018,SE_GC_TCAQ,20.69,PERCENT
FM,2019,SE_GC_TCAQ,19.23,PERCENT
FM,2020,SE_GC_TCAQ,18.52,PERCENT
FM,2021,SE_GC_TCAQ,5.56,PERCENT
TV,2019,SE_ACC_HNDWSH,100.0,PERCENT
PW,2018,SE_TOT_GPI,108.0,INDEX
TO,2018,SPC_4_6_1,99.41,PERCENT
FM,2018,SE_TOT_GPI,114.0,INDEX
WS,2017,SE_TOT_PRFL,23.9,PERCENT
CK,2012,SE_TOT_PRFL,76.0,PERCENT
CK,2015,SE_TOT_PRFL,60.0,PERCENT
CK,2018,SE_TOT_PRFL,57.0,PERCENT
PG,2017,SE_GPI_PTNPRE,99.0,INDEX
PG,2018,SE_GPI_PTNPRE,99.0,INDEX
FJ,2018,SE_TOT_PRFL,81.0,PERCENT
CK,2014,SE_GPI_TCAQ,100.0,INDEX
KI,2015,SE_TOT_PRFL,78.0,PERCENT
KI,2018,SE_TOT_PRFL,88.0,PERCENT
CK,2012,SE_TOT_PRFL,78.0,PERCENT
CK,2015,SE_TOT_PRFL,76.0,PERCENT
CK,2018,SE_TOT_PRFL,69.0,PERCENT
TV,2019,SE_ACS_H2O,9.1,PERCENT
TV,2021,SE_ACS_H2O,75.0,PERCENT
TV,2022,SE_ACS_H2O,75.0,PERCENT
WS,2015,SE_TOT_PRFL,54.0,PERCENT
WS,2018,SE_TOT_PRFL,85.0,PERCENT
TK,2016,SE_PRE_PARTN,89.66,PERCENT
TK,2019,SE_PRE_PARTN,90.0,PERCENT
TK,2020,SE_PRE_PARTN,96.88,PERCENT
TK,2021,SE_PRE_PARTN,75.76,PERCENT
CK,2021,SE_GC_TCAQ,90.0,PERCENT
TV,2016,SE_GC_TCAQ,52.4,PERCENT
TV,2018,SE_GC_TCAQ,67.11,PERCENT
TV,2022,SE_GC_TCAQ,29.13,PERCENT
MH,2015,SE_TOT_PRFL,55.0,PERCENT
MH,2018,SE_TOT_PRFL,58.0,PERCENT
KI,2013,SE_TOT_PRFL,35.0,PERCENT
FM,2018,SE_TOT_GPI,130.0,INDEX
NU,2015,SE_TOT_PRFL,58.0,PERCENT
NU,2018,SE_TOT_PRFL,48.0,PERCENT
KI,2013,SE_TOT_PRFL,27.0,PERCENT
NC,2018,SE_ACS_H2O,100.0,PERCENT
VU,2015,SE_TOT_PRFL,80.0,PERCENT
VU,2018,SE_TOT_PRFL,81.0,PERCENT
TK,2012,SE_TOT_PRFL,62.0,PERCENT
TK,2015,SE_TOT_PRFL,83.0,PERCENT
TK,2018,SE_TOT_PRFL,73.0,PERCENT
VU,2015,SE_GC_TCAQ,21.1,PERCENT
TV,2016,SE_GC_TCAQ,53.2,PERCENT
TV,2018,SE_GC_TCAQ,65.85,PERCENT
TV,2022,SE_GC_TCAQ,30.86,PERCENT
TO,2018,SPC_4_6_1,99.35,PERCENT
FJ,2015,SE_TOT_PRFL,39.2,PERCENT
FM,2015,SE_TOT_PRFL,70.0,PERCENT
FM,2018,SE_TOT_PRFL,85.0,PERCENT
WS,2020,SE_GC_TCAQ,49.77,PERCENT
FJ,2018,SPC_4_6_1,99.68,PERCENT
SB,2016,SE_TOT_GPI,101.0,INDEX
NR,2022,SE_GC_TCAQ,57.14,PERCENT
MH,2018,SE_TOT_GPI,106.0,INDEX
TV,2016,SE_GC_TCAQ,72.0,INDEX
NU,2020,SE_ACS_CMPTR,100.0,PERCENT
NU,2021,SE_ACS_CMPTR,100.0,PERCENT
PW,2018,SE_TOT_GPI,122.0,INDEX
WS,2015,SE_TOT_PRFL,81.0,PERCENT
WS,2018,SE_TOT_PRFL,78.0,PERCENT
FM,2018,SE_GC_TCAQ,39.09,PERCENT
FM,2019,SE_GC_TCAQ,36.56,PERCENT
FM,2020,SE_GC_TCAQ,39.78,PERCENT
FM,2021,SE_GC_TCAQ,28.62,PERCENT
TO,2013,SE_GC_TCAQ,61.1,PERCENT
TO,2014,SE_GC_TCAQ,54.9,PERCENT
TO,2015,SE_GC_TCAQ,59.0,PERCENT
NU,2012,SE_TOT_PRFL,85.0,PERCENT
NU,2015,SE_TOT_PRFL,75.0,PERCENT
NU,2018,SE_TOT_PRFL,65.0,PERCENT
NR,2018,SE_TOT_PRFL,38.0,PERCENT
SB,2015,SE_TOT_PRFL,84.0,PERCENT
FJ,2021,SE_TOT_PRFL,44.8,PERCENT
MH,2022,SE_ACS_DISAB,40.9,PERCENT
KI,2020,SE_GC_TCAQ,93.59,PERCENT
NC,2013,SPC_4_6_1,76.0,PERCENT
FM,2018,SE_GC_TCAQ,39.95,PERCENT
FM,2019,SE_GC_TCAQ,36.23,PERCENT
FM,2020,SE_GC_TCAQ,34.29,PERCENT
FM,2021,SE_GC_TCAQ,27.0,PERCENT
SB,2018,SE_TOT_GPI,122.0,INDEX
VU,2015,SE_ACS_SANIT,28.7,PERCENT
MH,2020,SE_GC_TCAQ,71.43,PERCENT
MH,2021,SE_GC_TCAQ,87.54,PERCENT
MH,2022,SE_GC_TCAQ,79.14,PERCENT
VU,2015,SE_ACS_CMPTR,56.2,PERCENT
FJ,2019,SE_PRE_PARTN,98.8,PERCENT
FJ,2020,SE_PRE_PARTN,81.0,PERCENT
FJ,2021,SE_PRE_PARTN,85.15,PERCENT
FJ,2022,SE_PRE_PARTN,92.37,PERCENT
NR,2018,SE_TOT_PRFL,45.0,PERCENT
FM,2018,SE_TOT_GPI,102.0,INDEX
SB,2016,SE_ACS_CMPTR,13.3,PERCENT
SB,2018,SE_ACS_CMPTR,7.3,PERCENT
NR,2016,SE_ACS_DISAB,100.0,PERCENT
TV,2012,SE_TOT_PRFL,43.0,PERCENT
TV,2015,SE_TOT_PRFL,71.0,PERCENT
TV,2018,SE_TOT_PRFL,83.0,PERCENT
TV,2021,SE_TOT_PRFL,69.0,PERCENT
PG,2018,SE_TOT_GPI,98.0,INDEX
KI,2014,SE_GC_TCAQ,79.3,INDEX
TK,2019,SE_GC_TCAQ,23.81,PERCENT
TK,2020,SE_GC_TCAQ,47.62,PERCENT
TK,2021,SE_GC_TCAQ,23.81,PERCENT
MH,2020,SE_GPI_TCAQ,98.0,INDEX
VU,2012,SE_TOT_PRFL,42.0,PERCENT
VU,2015,SE_TOT_PRFL,56.0,PERCENT
VU,2018,SE_TOT_PRFL,66.0,PERCENT
VU,2021,SE_TOT_PRFL,50.0,PERCENT
TO,2013,SE_GC_TCAQ,65.1,PERCENT
TO,2014,SE_GC_TCAQ,57.4,PERCENT
TO,2015,SE_GC_TCAQ,58.7,PERCENT
PG,2018,SE_TOT_PRFL,85.0,PERCENT
PG,2016,SE_ACC_HNDWSH,10.0,PERCENT
TO,2018,SE_TOT_GPI,164.0,INDEX
WS,2018,SE_TOT_GPI,127.0,INDEX
NU,2016,SE_ACS_ELECT,100.0,PERCENT
WS,2015,SE_TOT_PRFL,36.0,PERCENT
WS,2018,SE_TOT_PRFL,62.0,PERCENT
NU,2018,SE_TOT_GPI,96.0,INDEX
NU,2015,SE_TOT_PRFL,77.0,PERCENT
NU,2018,SE_TOT_PRFL,88.0,PERCENT
WS,2018,SPC_4_6_1,99.44,PERCENT
CK,2019,SE_ACS_ELECT,100.0,PERCENT
CK,2023,SE_ACS_ELECT,100.0,PERCENT
PF,2021,SE_PRE_PARTN,97.5,PERCENT
PF,2023,SE_PRE_PARTN,99.8,PERCENT
WS,2011,SE_GPI_PTNPRE,120.0,INDEX
WS,2012,SE_GPI_PTNPRE,109.0,INDEX
WS,2013,SE_GPI_PTNPRE,106.0,INDEX
WS,2014,SE_GPI_PTNPRE,103.0,INDEX
WS,2015,SE_GPI_PTNPRE,116.0,INDEX
WS,2016,SE_GPI_PTNPRE,103.0,INDEX
WS,2017,SE_GPI_PTNPRE,107.0,INDEX
WS,2018,SE_GPI_PTNPRE,107.0,INDEX
WS,2019,SE_GPI_PTNPRE,111.0,INDEX
NR,2023,SE_TOT_ICTS,23.5,PERCENT
TK,2012,SE_TOT_PRFL,55.0,PERCENT
TK,2015,SE_TOT_PRFL,55.0,PERCENT
TK,2018,SE_TOT_PRFL,68.0,PERCENT
TK,2021,SE_TOT_PRFL,86.0,PERCENT
KI,2020,SE_ACS_H2O,77.14,PERCENT
SB,2016,SE_TOT_GPI,98.0,INDEX
FJ,2015,SE_TOT_GPI,99.0,INDEX
VU,2018,SE_GC_TCAQ,62.5,PERCENT
VU,2019,SE_GC_TCAQ,48.0,PERCENT
WS,2019,SE_ACS_INTNT,32.9,PERCENT
TO,2018,SE_TOT_GPI,110.0,INDEX
TK,2020,SE_GPI_PTNPRE,94.0,INDEX
SB,2015,SE_ACS_SANIT,34.0,PERCENT
TO,2014,SE_GPI_TCAQ,111.0,INDEX
TO,2016,SE_GPI_TCAQ,99.0,INDEX
TV,2016,SE_TOT_GPI,100.0,INDEX
